fixture                                                                                   path                           chose         status
damage_hit_accuracy_1_1_13_True_True                                                      strategy/damage-adapter        (none)        OK
damage_hit_special_THUNDER_1_{'wBattleWeather': 1}                                        strategy/damage-adapter        (none)        OK
damage_hit_special_THUNDER_1_{'wBattleWeather': 2}                                        strategy/damage-adapter        (none)        OK
damage_hit_special_SWIFT_0_{'wEnemyMonItem': 3}                                           strategy/damage-adapter        (none)        OK
damage_hit_special_TACKLE_0_{'wEnemyMonItem': 3}                                          strategy/damage-adapter        (none)        OK
damage_hit_special_TACKLE_1_{'wEnemySubStatus4': 1}                                       strategy/damage-adapter        (none)        OK
damage_hit_special_TACKLE_1_{'wPlayerSubStatus5': 32}                                     strategy/damage-adapter        (none)        OK
damage_hit_special_TACKLE_1_{'wPlayerSubStatus3': 64}                                     strategy/damage-adapter        (none)        OK
damage_hit_special_GUST_1_{'wPlayerSubStatus3': 64}                                       strategy/damage-adapter        (none)        OK
damage_hit_special_EARTHQUAKE_1_{'wPlayerSubStatus3': 64, 'wPlayerSubStatus5': 32}        strategy/damage-adapter        (none)        OK
damage_hit_special_VITAL_THROW_1_{}                                                       strategy/damage-adapter        (none)        OK
damage_hit_special_QUICK_ATTACK_1_{}                                                      strategy/damage-adapter        (none)        OK
damage_substitute_0_SPIKE_CANNON                                                          strategy/damage-adapter        (none)        OK
damage_substitute_0_TACKLE                                                                strategy/damage-adapter        (none)        OK
damage_substitute_1_SPIKE_CANNON                                                          strategy/damage-adapter        (none)        OK
damage_substitute_1_TACKLE                                                                strategy/damage-adapter        (none)        OK
damage_multihit_overkill_bounds                                                           strategy/damage-adapter        (none)        OK
damage_pursuit_repeated_context                                                           strategy/damage-adapter        (none)        OK
damage_screen_0_TACKLE_False                                                              strategy/damage-adapter        (none)        OK
damage_screen_0_TACKLE_True                                                               strategy/damage-adapter        (none)        OK
damage_screen_0_SURF_False                                                                strategy/damage-adapter        (none)        OK
damage_screen_0_SURF_True                                                                 strategy/damage-adapter        (none)        OK
damage_screen_1_TACKLE_False                                                              strategy/damage-adapter        (none)        OK
damage_screen_1_TACKLE_True                                                               strategy/damage-adapter        (none)        OK
damage_screen_1_SURF_False                                                                strategy/damage-adapter        (none)        OK
damage_screen_1_SURF_True                                                                 strategy/damage-adapter        (none)        OK
damage_item_cap_1_CUBONE_THICK_CLUB                                                       strategy/damage-adapter        (none)        OK
damage_item_cap_1_PIKACHU_LIGHT_BALL                                                      strategy/damage-adapter        (none)        OK
damage_item_cap_1_SNORLAX_CHOICE_BAND                                                     strategy/damage-adapter        (none)        OK
damage_item_cap_0_DITTO_METAL_POWDER                                                      strategy/damage-adapter        (none)        OK
damage_item_cap_0_DRATINI_EVOLITE                                                         strategy/damage-adapter        (none)        OK
damage_balloon_0_False                                                                    strategy/damage-adapter        (none)        OK
damage_balloon_0_True                                                                     strategy/damage-adapter        (none)        OK
damage_balloon_1_False                                                                    strategy/damage-adapter        (none)        OK
damage_balloon_1_True                                                                     strategy/damage-adapter        (none)        OK
public_ko_149_TACKLE_{}_BossAI_CurrentEnemyMoveHasKOPressure                              strategy/public-ko             (none)        OK
public_ko_149_TACKLE_{}_BossAI_HasAnyKOMove                                               strategy/public-ko             (none)        OK
public_ko_16_TACKLE_{}_BossAI_CurrentEnemyMoveHasKOPressure                               strategy/public-ko             (none)        OK
public_ko_16_TACKLE_{}_BossAI_HasAnyKOMove                                                strategy/public-ko             (none)        OK
public_ko_149_TACKLE_{'wPlayerSubStatus3': 64}_BossAI_CurrentEnemyMoveHasKOPressure       strategy/public-ko             (none)        OK
public_ko_149_TACKLE_{'wPlayerSubStatus3': 64}_BossAI_HasAnyKOMove                        strategy/public-ko             (none)        OK
public_ko_149_GUST_{'wPlayerSubStatus3': 64}_BossAI_CurrentEnemyMoveHasKOPressure         strategy/public-ko             (none)        OK
public_ko_149_GUST_{'wPlayerSubStatus3': 64}_BossAI_HasAnyKOMove                          strategy/public-ko             (none)        OK
public_ko_149_TACKLE_{'wPlayerSubStatus4': 16}_BossAI_CurrentEnemyMoveHasKOPressure       strategy/public-ko             (none)        OK
public_ko_149_TACKLE_{'wPlayerSubStatus4': 16}_BossAI_HasAnyKOMove                        strategy/public-ko             (none)        OK
public_ko_149_TACKLE_{'wPlayerSubStatus5': 8}_BossAI_CurrentEnemyMoveHasKOPressure        strategy/public-ko             (none)        OK
public_ko_149_TACKLE_{'wPlayerSubStatus5': 8}_BossAI_HasAnyKOMove                         strategy/public-ko             (none)        OK
public_priority_129_{}                                                                    strategy/public-ko             (none)        OK
public_priority_213_{}                                                                    strategy/public-ko             (none)        OK
public_priority_129_{'wEnemySubStatus3': 64}                                              strategy/public-ko             (none)        OK
public_priority_129_{'wEnemySubStatus4': 16}                                              strategy/public-ko             (none)        OK
public_priority_213_{'wPlayerSubStatus5': 8}                                              strategy/public-ko             (none)        OK
public_multi_sub_0_sub                                                                    strategy/public-ko             (none)        OK
public_multi_sub_0_fainted                                                                strategy/public-ko             (none)        OK
public_multi_sub_0_flying                                                                 strategy/public-ko             (none)        OK
public_multi_sub_1_sub                                                                    strategy/public-ko             (none)        OK
public_multi_sub_1_fainted                                                                strategy/public-ko             (none)        OK
public_multi_sub_1_flying                                                                 strategy/public-ko             (none)        OK
damage_survival_0_none                                                                    strategy/damage-adapter        (none)        OK
damage_survival_0_dual                                                                    strategy/damage-adapter        (none)        OK
damage_survival_0_mono                                                                    strategy/damage-adapter        (none)        OK
damage_survival_1_none                                                                    strategy/damage-adapter        (none)        OK
damage_survival_1_dual                                                                    strategy/damage-adapter        (none)        OK
damage_survival_1_mono                                                                    strategy/damage-adapter        (none)        OK
damage_truncation_255_255_TACKLE                                                          strategy/damage-kernel         (none)        OK
damage_truncation_255_255_EXPLOSION                                                       strategy/damage-kernel         (none)        OK
damage_truncation_256_255_TACKLE                                                          strategy/damage-kernel         (none)        OK
damage_truncation_256_255_EXPLOSION                                                       strategy/damage-kernel         (none)        OK
damage_truncation_255_256_TACKLE                                                          strategy/damage-kernel         (none)        OK
damage_truncation_255_256_EXPLOSION                                                       strategy/damage-kernel         (none)        OK
damage_truncation_256_256_TACKLE                                                          strategy/damage-kernel         (none)        OK
damage_truncation_256_256_EXPLOSION                                                       strategy/damage-kernel         (none)        OK
damage_truncation_999_999_TACKLE                                                          strategy/damage-kernel         (none)        OK
damage_truncation_999_999_EXPLOSION                                                       strategy/damage-kernel         (none)        OK
damage_truncation_1498_1998_TACKLE                                                        strategy/damage-kernel         (none)        OK
damage_truncation_1498_1998_EXPLOSION                                                     strategy/damage-kernel         (none)        OK
damage_truncation_1024_1_TACKLE                                                           strategy/damage-kernel         (none)        OK
damage_truncation_1024_1_EXPLOSION                                                        strategy/damage-kernel         (none)        OK
damage_truncation_1_1024_TACKLE                                                           strategy/damage-kernel         (none)        OK
damage_truncation_1_1024_EXPLOSION                                                        strategy/damage-kernel         (none)        OK
damage_hp_threshold_0_FIRE_-1                                                             strategy/damage-adapter        (none)        OK
damage_hp_threshold_0_FIRE_0                                                              strategy/damage-adapter        (none)        OK
damage_hp_threshold_0_FIRE_1                                                              strategy/damage-adapter        (none)        OK
damage_hp_threshold_0_ICE_-1                                                              strategy/damage-adapter        (none)        OK
damage_hp_threshold_0_ICE_0                                                               strategy/damage-adapter        (none)        OK
damage_hp_threshold_0_ICE_1                                                               strategy/damage-adapter        (none)        OK
damage_hp_threshold_1_FIRE_-1                                                             strategy/damage-adapter        (none)        OK
damage_hp_threshold_1_FIRE_0                                                              strategy/damage-adapter        (none)        OK
damage_hp_threshold_1_FIRE_1                                                              strategy/damage-adapter        (none)        OK
damage_hp_threshold_1_ICE_-1                                                              strategy/damage-adapter        (none)        OK
damage_hp_threshold_1_ICE_0                                                               strategy/damage-adapter        (none)        OK
damage_hp_threshold_1_ICE_1                                                               strategy/damage-adapter        (none)        OK
damage_status_survival_0                                                                  strategy/damage-adapter        (none)        OK
damage_status_survival_1                                                                  strategy/damage-adapter        (none)        OK
party_damage_0_0_SNORLAX_None_TACKLE                                                      strategy/party-damage          (none)        OK
party_damage_0_0_SNORLAX_None_SURF                                                        strategy/party-damage          (none)        OK
party_damage_0_0_DRAGONITE_None_OUTRAGE                                                   strategy/party-damage          (none)        OK
party_damage_0_0_CUBONE_THICK_CLUB_TACKLE                                                 strategy/party-damage          (none)        OK
party_damage_0_0_PIKACHU_LIGHT_BALL_THUNDERBOLT                                           strategy/party-damage          (none)        OK
party_damage_0_0_SNORLAX_CHOICE_BAND_TACKLE                                               strategy/party-damage          (none)        OK
party_damage_0_0_SNORLAX_CHOICE_SPECS_SURF                                                strategy/party-damage          (none)        OK
party_damage_0_0_DRATINI_EVOLITE_TACKLE                                                   strategy/party-damage          (none)        OK
party_damage_0_0_SNORLAX_ASSAULT_VEST_SURF                                                strategy/party-damage          (none)        OK
party_damage_0_0_SNORLAX_AIR_BALLOON_EARTHQUAKE                                           strategy/party-damage          (none)        OK
party_damage_0_0_DITTO_METAL_POWDER_TACKLE                                                strategy/party-damage          (none)        OK
party_damage_0_0_DITTO_None_DRAGON_RAGE                                                   strategy/party-damage          (none)        OK
party_damage_0_5_SNORLAX_None_TACKLE                                                      strategy/party-damage          (none)        OK
party_damage_0_5_SNORLAX_None_SURF                                                        strategy/party-damage          (none)        OK
party_damage_0_5_DRAGONITE_None_OUTRAGE                                                   strategy/party-damage          (none)        OK
party_damage_0_5_CUBONE_THICK_CLUB_TACKLE                                                 strategy/party-damage          (none)        OK
party_damage_0_5_PIKACHU_LIGHT_BALL_THUNDERBOLT                                           strategy/party-damage          (none)        OK
party_damage_0_5_SNORLAX_CHOICE_BAND_TACKLE                                               strategy/party-damage          (none)        OK
party_damage_0_5_SNORLAX_CHOICE_SPECS_SURF                                                strategy/party-damage          (none)        OK
party_damage_0_5_DRATINI_EVOLITE_TACKLE                                                   strategy/party-damage          (none)        OK
party_damage_0_5_SNORLAX_ASSAULT_VEST_SURF                                                strategy/party-damage          (none)        OK
party_damage_0_5_SNORLAX_AIR_BALLOON_EARTHQUAKE                                           strategy/party-damage          (none)        OK
party_damage_0_5_DITTO_METAL_POWDER_TACKLE                                                strategy/party-damage          (none)        OK
party_damage_0_5_DITTO_None_DRAGON_RAGE                                                   strategy/party-damage          (none)        OK
party_damage_1_0_SNORLAX_None_TACKLE                                                      strategy/party-damage          (none)        OK
party_damage_1_0_SNORLAX_None_SURF                                                        strategy/party-damage          (none)        OK
party_damage_1_0_DRAGONITE_None_OUTRAGE                                                   strategy/party-damage          (none)        OK
party_damage_1_0_CUBONE_THICK_CLUB_TACKLE                                                 strategy/party-damage          (none)        OK
party_damage_1_0_PIKACHU_LIGHT_BALL_THUNDERBOLT                                           strategy/party-damage          (none)        OK
party_damage_1_0_SNORLAX_CHOICE_BAND_TACKLE                                               strategy/party-damage          (none)        OK
party_damage_1_0_SNORLAX_CHOICE_SPECS_SURF                                                strategy/party-damage          (none)        OK
party_damage_1_0_DRATINI_EVOLITE_TACKLE                                                   strategy/party-damage          (none)        OK
party_damage_1_0_SNORLAX_ASSAULT_VEST_SURF                                                strategy/party-damage          (none)        OK
party_damage_1_0_SNORLAX_AIR_BALLOON_EARTHQUAKE                                           strategy/party-damage          (none)        OK
party_damage_1_0_DITTO_METAL_POWDER_TACKLE                                                strategy/party-damage          (none)        OK
party_damage_1_0_DITTO_None_DRAGON_RAGE                                                   strategy/party-damage          (none)        OK
party_damage_1_5_SNORLAX_None_TACKLE                                                      strategy/party-damage          (none)        OK
party_damage_1_5_SNORLAX_None_SURF                                                        strategy/party-damage          (none)        OK
party_damage_1_5_DRAGONITE_None_OUTRAGE                                                   strategy/party-damage          (none)        OK
party_damage_1_5_CUBONE_THICK_CLUB_TACKLE                                                 strategy/party-damage          (none)        OK
party_damage_1_5_PIKACHU_LIGHT_BALL_THUNDERBOLT                                           strategy/party-damage          (none)        OK
party_damage_1_5_SNORLAX_CHOICE_BAND_TACKLE                                               strategy/party-damage          (none)        OK
party_damage_1_5_SNORLAX_CHOICE_SPECS_SURF                                                strategy/party-damage          (none)        OK
party_damage_1_5_DRATINI_EVOLITE_TACKLE                                                   strategy/party-damage          (none)        OK
party_damage_1_5_SNORLAX_ASSAULT_VEST_SURF                                                strategy/party-damage          (none)        OK
party_damage_1_5_SNORLAX_AIR_BALLOON_EARTHQUAKE                                           strategy/party-damage          (none)        OK
party_damage_1_5_DITTO_METAL_POWDER_TACKLE                                                strategy/party-damage          (none)        OK
party_damage_1_5_DITTO_None_DRAGON_RAGE                                                   strategy/party-damage          (none)        OK
party_damage_burn_SNORLAX_False                                                           strategy/party-damage          (none)        OK
party_damage_burn_SNORLAX_True                                                            strategy/party-damage          (none)        OK
party_damage_burn_MACHAMP_False                                                           strategy/party-damage          (none)        OK
party_damage_burn_MACHAMP_True                                                            strategy/party-damage          (none)        OK
party_damage_burn_HERACROSS_False                                                         strategy/party-damage          (none)        OK
party_damage_burn_HERACROSS_True                                                          strategy/party-damage          (none)        OK
party_item_multihit_1_LIFE_ORB_SPIKE_CANNON                                               strategy/party-damage          (none)        OK
party_item_multihit_1_SHELL_BELL_SPIKE_CANNON                                             strategy/party-damage          (none)        OK
party_item_multihit_1_LIFE_ORB_TACKLE                                                     strategy/party-damage          (none)        OK
party_item_multihit_1_SHELL_BELL_TACKLE                                                   strategy/party-damage          (none)        OK
party_item_multihit_0_ROCKY_HELMET_DOUBLE_KICK                                            strategy/party-damage          (none)        OK
party_item_multihit_0_ROCKY_HELMET_SPIKE_CANNON                                           strategy/party-damage          (none)        OK
party_item_multihit_0_ROCKY_HELMET_TACKLE                                                 strategy/party-damage          (none)        OK
party_item_multihit_0_None_DOUBLE_KICK                                                    strategy/party-damage          (none)        OK
party_item_multihit_1_None_SPIKE_CANNON                                                   strategy/party-damage          (none)        OK
party_ditto_fixed_immunity_unknown                                                        strategy/party-damage          (none)        OK
party_raw_overkill_TAKE_DOWN                                                              strategy/party-damage          (none)        OK
party_raw_overkill_GIGA_DRAIN                                                             strategy/party-damage          (none)        OK
party_raw_overkill_PURSUIT                                                                strategy/party-damage          (none)        OK
action_entry_SNORLAX_0_0_317                                                              strategy/action-facts          (none)        OK
action_entry_SNORLAX_0_1_317                                                              strategy/action-facts          (none)        OK
action_entry_SNORLAX_0_299_317                                                            strategy/action-facts          (none)        OK
action_entry_SNORLAX_0_1_1                                                                strategy/action-facts          (none)        OK
action_entry_SNORLAX_1_0_317                                                              strategy/action-facts          (none)        OK
action_entry_SNORLAX_1_1_317                                                              strategy/action-facts          (none)        OK
action_entry_SNORLAX_1_299_317                                                            strategy/action-facts          (none)        OK
action_entry_SNORLAX_1_1_1                                                                strategy/action-facts          (none)        OK
action_entry_SNORLAX_2_0_317                                                              strategy/action-facts          (none)        OK
action_entry_SNORLAX_2_1_317                                                              strategy/action-facts          (none)        OK
action_entry_SNORLAX_2_299_317                                                            strategy/action-facts          (none)        OK
action_entry_SNORLAX_2_1_1                                                                strategy/action-facts          (none)        OK
action_entry_SNORLAX_3_0_317                                                              strategy/action-facts          (none)        OK
action_entry_SNORLAX_3_1_317                                                              strategy/action-facts          (none)        OK
action_entry_SNORLAX_3_299_317                                                            strategy/action-facts          (none)        OK
action_entry_SNORLAX_3_1_1                                                                strategy/action-facts          (none)        OK
action_entry_PIDGEOT_0_0_317                                                              strategy/action-facts          (none)        OK
action_entry_PIDGEOT_0_1_317                                                              strategy/action-facts          (none)        OK
action_entry_PIDGEOT_0_299_317                                                            strategy/action-facts          (none)        OK
action_entry_PIDGEOT_0_1_1                                                                strategy/action-facts          (none)        OK
action_entry_PIDGEOT_1_0_317                                                              strategy/action-facts          (none)        OK
action_entry_PIDGEOT_1_1_317                                                              strategy/action-facts          (none)        OK
action_entry_PIDGEOT_1_299_317                                                            strategy/action-facts          (none)        OK
action_entry_PIDGEOT_1_1_1                                                                strategy/action-facts          (none)        OK
action_entry_PIDGEOT_2_0_317                                                              strategy/action-facts          (none)        OK
action_entry_PIDGEOT_2_1_317                                                              strategy/action-facts          (none)        OK
action_entry_PIDGEOT_2_299_317                                                            strategy/action-facts          (none)        OK
action_entry_PIDGEOT_2_1_1                                                                strategy/action-facts          (none)        OK
action_entry_PIDGEOT_3_0_317                                                              strategy/action-facts          (none)        OK
action_entry_PIDGEOT_3_1_317                                                              strategy/action-facts          (none)        OK
action_entry_PIDGEOT_3_299_317                                                            strategy/action-facts          (none)        OK
action_entry_PIDGEOT_3_1_1                                                                strategy/action-facts          (none)        OK
action_recovery_RECOVER_0_317                                                             strategy/action-facts          (none)        OK
action_recovery_RECOVER_1_317                                                             strategy/action-facts          (none)        OK
action_recovery_RECOVER_316_317                                                           strategy/action-facts          (none)        OK
action_recovery_RECOVER_317_317                                                           strategy/action-facts          (none)        OK
action_recovery_RECOVER_1_3                                                               strategy/action-facts          (none)        OK
action_recovery_REST_0_317                                                                strategy/action-facts          (none)        OK
action_recovery_REST_1_317                                                                strategy/action-facts          (none)        OK
action_recovery_REST_316_317                                                              strategy/action-facts          (none)        OK
action_recovery_REST_317_317                                                              strategy/action-facts          (none)        OK
action_recovery_REST_1_3                                                                  strategy/action-facts          (none)        OK
action_time_heal_MORNING_SUN_0_False_0                                                    strategy/action-facts          (none)        OK
action_time_heal_MORNING_SUN_0_False_1                                                    strategy/action-facts          (none)        OK
action_time_heal_MORNING_SUN_0_False_2                                                    strategy/action-facts          (none)        OK
action_time_heal_MORNING_SUN_0_False_3                                                    strategy/action-facts          (none)        OK
action_time_heal_MORNING_SUN_0_True_0                                                     strategy/action-facts          (none)        OK
action_time_heal_MORNING_SUN_0_True_1                                                     strategy/action-facts          (none)        OK
action_time_heal_MORNING_SUN_0_True_2                                                     strategy/action-facts          (none)        OK
action_time_heal_MORNING_SUN_0_True_3                                                     strategy/action-facts          (none)        OK
action_time_heal_MORNING_SUN_1_False_0                                                    strategy/action-facts          (none)        OK
action_time_heal_MORNING_SUN_1_False_1                                                    strategy/action-facts          (none)        OK
action_time_heal_MORNING_SUN_1_False_2                                                    strategy/action-facts          (none)        OK
action_time_heal_MORNING_SUN_1_False_3                                                    strategy/action-facts          (none)        OK
action_time_heal_MORNING_SUN_1_True_0                                                     strategy/action-facts          (none)        OK
action_time_heal_MORNING_SUN_1_True_1                                                     strategy/action-facts          (none)        OK
action_time_heal_MORNING_SUN_1_True_2                                                     strategy/action-facts          (none)        OK
action_time_heal_MORNING_SUN_1_True_3                                                     strategy/action-facts          (none)        OK
action_time_heal_SYNTHESIS_0_False_0                                                      strategy/action-facts          (none)        OK
action_time_heal_SYNTHESIS_0_False_1                                                      strategy/action-facts          (none)        OK
action_time_heal_SYNTHESIS_0_False_2                                                      strategy/action-facts          (none)        OK
action_time_heal_SYNTHESIS_0_False_3                                                      strategy/action-facts          (none)        OK
action_time_heal_SYNTHESIS_0_True_0                                                       strategy/action-facts          (none)        OK
action_time_heal_SYNTHESIS_0_True_1                                                       strategy/action-facts          (none)        OK
action_time_heal_SYNTHESIS_0_True_2                                                       strategy/action-facts          (none)        OK
action_time_heal_SYNTHESIS_0_True_3                                                       strategy/action-facts          (none)        OK
action_time_heal_SYNTHESIS_1_False_0                                                      strategy/action-facts          (none)        OK
action_time_heal_SYNTHESIS_1_False_1                                                      strategy/action-facts          (none)        OK
action_time_heal_SYNTHESIS_1_False_2                                                      strategy/action-facts          (none)        OK
action_time_heal_SYNTHESIS_1_False_3                                                      strategy/action-facts          (none)        OK
action_time_heal_SYNTHESIS_1_True_0                                                       strategy/action-facts          (none)        OK
action_time_heal_SYNTHESIS_1_True_1                                                       strategy/action-facts          (none)        OK
action_time_heal_SYNTHESIS_1_True_2                                                       strategy/action-facts          (none)        OK
action_time_heal_SYNTHESIS_1_True_3                                                       strategy/action-facts          (none)        OK
action_time_heal_MOONLIGHT_0_False_0                                                      strategy/action-facts          (none)        OK
action_time_heal_MOONLIGHT_0_False_1                                                      strategy/action-facts          (none)        OK
action_time_heal_MOONLIGHT_0_False_2                                                      strategy/action-facts          (none)        OK
action_time_heal_MOONLIGHT_0_False_3                                                      strategy/action-facts          (none)        OK
action_time_heal_MOONLIGHT_0_True_0                                                       strategy/action-facts          (none)        OK
action_time_heal_MOONLIGHT_0_True_1                                                       strategy/action-facts          (none)        OK
action_time_heal_MOONLIGHT_0_True_2                                                       strategy/action-facts          (none)        OK
action_time_heal_MOONLIGHT_0_True_3                                                       strategy/action-facts          (none)        OK
action_time_heal_MOONLIGHT_1_False_0                                                      strategy/action-facts          (none)        OK
action_time_heal_MOONLIGHT_1_False_1                                                      strategy/action-facts          (none)        OK
action_time_heal_MOONLIGHT_1_False_2                                                      strategy/action-facts          (none)        OK
action_time_heal_MOONLIGHT_1_False_3                                                      strategy/action-facts          (none)        OK
action_time_heal_MOONLIGHT_1_True_0                                                       strategy/action-facts          (none)        OK
action_time_heal_MOONLIGHT_1_True_1                                                       strategy/action-facts          (none)        OK
action_time_heal_MOONLIGHT_1_True_2                                                       strategy/action-facts          (none)        OK
action_time_heal_MOONLIGHT_1_True_3                                                       strategy/action-facts          (none)        OK
action_self_Recoil_NORMAL_NORMAL_0_100                                                    strategy/action-self-effects   (none)        OK
action_self_Recoil_NORMAL_NORMAL_1_100                                                    strategy/action-self-effects   (none)        OK
action_self_Recoil_NORMAL_NORMAL_7_100                                                    strategy/action-self-effects   (none)        OK
action_self_Recoil_NORMAL_NORMAL_511_100                                                  strategy/action-self-effects   (none)        OK
action_self_Recoil_NORMAL_NORMAL_511_1                                                    strategy/action-self-effects   (none)        OK
action_self_Recoil_NORMAL_NORMAL_511_0                                                    strategy/action-self-effects   (none)        OK
action_self_Recoil_NORMAL_NORMAL_65535_100                                                strategy/action-self-effects   (none)        OK
action_self_Recoil_STEEL_STEEL_0_100                                                      strategy/action-self-effects   (none)        OK
action_self_Recoil_STEEL_STEEL_1_100                                                      strategy/action-self-effects   (none)        OK
action_self_Recoil_STEEL_STEEL_7_100                                                      strategy/action-self-effects   (none)        OK
action_self_Recoil_STEEL_STEEL_511_100                                                    strategy/action-self-effects   (none)        OK
action_self_Recoil_STEEL_STEEL_511_1                                                      strategy/action-self-effects   (none)        OK
action_self_Recoil_STEEL_STEEL_511_0                                                      strategy/action-self-effects   (none)        OK
action_self_Recoil_STEEL_STEEL_65535_100                                                  strategy/action-self-effects   (none)        OK
action_self_Recoil_STEEL_GROUND_0_100                                                     strategy/action-self-effects   (none)        OK
action_self_Recoil_STEEL_GROUND_1_100                                                     strategy/action-self-effects   (none)        OK
action_self_Recoil_STEEL_GROUND_7_100                                                     strategy/action-self-effects   (none)        OK
action_self_Recoil_STEEL_GROUND_511_100                                                   strategy/action-self-effects   (none)        OK
action_self_Recoil_STEEL_GROUND_511_1                                                     strategy/action-self-effects   (none)        OK
action_self_Recoil_STEEL_GROUND_511_0                                                     strategy/action-self-effects   (none)        OK
action_self_Recoil_STEEL_GROUND_65535_100                                                 strategy/action-self-effects   (none)        OK
action_self_Drain_NORMAL_NORMAL_0_100                                                     strategy/action-self-effects   (none)        OK
action_self_Drain_NORMAL_NORMAL_1_100                                                     strategy/action-self-effects   (none)        OK
action_self_Drain_NORMAL_NORMAL_7_100                                                     strategy/action-self-effects   (none)        OK
action_self_Drain_NORMAL_NORMAL_511_100                                                   strategy/action-self-effects   (none)        OK
action_self_Drain_NORMAL_NORMAL_511_1                                                     strategy/action-self-effects   (none)        OK
action_self_Drain_NORMAL_NORMAL_511_0                                                     strategy/action-self-effects   (none)        OK
action_self_Drain_NORMAL_NORMAL_65535_100                                                 strategy/action-self-effects   (none)        OK
action_self_Drain_STEEL_STEEL_0_100                                                       strategy/action-self-effects   (none)        OK
action_self_Drain_STEEL_STEEL_1_100                                                       strategy/action-self-effects   (none)        OK
action_self_Drain_STEEL_STEEL_7_100                                                       strategy/action-self-effects   (none)        OK
action_self_Drain_STEEL_STEEL_511_100                                                     strategy/action-self-effects   (none)        OK
action_self_Drain_STEEL_STEEL_511_1                                                       strategy/action-self-effects   (none)        OK
action_self_Drain_STEEL_STEEL_511_0                                                       strategy/action-self-effects   (none)        OK
action_self_Drain_STEEL_STEEL_65535_100                                                   strategy/action-self-effects   (none)        OK
action_self_Drain_STEEL_GROUND_0_100                                                      strategy/action-self-effects   (none)        OK
action_self_Drain_STEEL_GROUND_1_100                                                      strategy/action-self-effects   (none)        OK
action_self_Drain_STEEL_GROUND_7_100                                                      strategy/action-self-effects   (none)        OK
action_self_Drain_STEEL_GROUND_511_100                                                    strategy/action-self-effects   (none)        OK
action_self_Drain_STEEL_GROUND_511_1                                                      strategy/action-self-effects   (none)        OK
action_self_Drain_STEEL_GROUND_511_0                                                      strategy/action-self-effects   (none)        OK
action_self_Drain_STEEL_GROUND_65535_100                                                  strategy/action-self-effects   (none)        OK
action_speeds_None_SNORLAX_False_False                                                    strategy/action-speeds         (none)        OK
action_speeds_None_SNORLAX_False_True                                                     strategy/action-speeds         (none)        OK
action_speeds_None_SNORLAX_True_False                                                     strategy/action-speeds         (none)        OK
action_speeds_None_SNORLAX_True_True                                                      strategy/action-speeds         (none)        OK
action_speeds_None_JOLTEON_False_False                                                    strategy/action-speeds         (none)        OK
action_speeds_None_JOLTEON_False_True                                                     strategy/action-speeds         (none)        OK
action_speeds_None_JOLTEON_True_False                                                     strategy/action-speeds         (none)        OK
action_speeds_None_JOLTEON_True_True                                                      strategy/action-speeds         (none)        OK
action_speeds_None_RAICHU_False_False                                                     strategy/action-speeds         (none)        OK
action_speeds_None_RAICHU_False_True                                                      strategy/action-speeds         (none)        OK
action_speeds_None_RAICHU_True_False                                                      strategy/action-speeds         (none)        OK
action_speeds_None_RAICHU_True_True                                                       strategy/action-speeds         (none)        OK
action_speeds_None_MACHAMP_False_False                                                    strategy/action-speeds         (none)        OK
action_speeds_None_MACHAMP_False_True                                                     strategy/action-speeds         (none)        OK
action_speeds_None_MACHAMP_True_False                                                     strategy/action-speeds         (none)        OK
action_speeds_None_MACHAMP_True_True                                                      strategy/action-speeds         (none)        OK
action_speeds_2_SNORLAX_False_False                                                       strategy/action-speeds         (none)        OK
action_speeds_2_SNORLAX_False_True                                                        strategy/action-speeds         (none)        OK
action_speeds_2_SNORLAX_True_False                                                        strategy/action-speeds         (none)        OK
action_speeds_2_SNORLAX_True_True                                                         strategy/action-speeds         (none)        OK
action_speeds_2_JOLTEON_False_False                                                       strategy/action-speeds         (none)        OK
action_speeds_2_JOLTEON_False_True                                                        strategy/action-speeds         (none)        OK
action_speeds_2_JOLTEON_True_False                                                        strategy/action-speeds         (none)        OK
action_speeds_2_JOLTEON_True_True                                                         strategy/action-speeds         (none)        OK
action_speeds_2_RAICHU_False_False                                                        strategy/action-speeds         (none)        OK
action_speeds_2_RAICHU_False_True                                                         strategy/action-speeds         (none)        OK
action_speeds_2_RAICHU_True_False                                                         strategy/action-speeds         (none)        OK
action_speeds_2_RAICHU_True_True                                                          strategy/action-speeds         (none)        OK
action_speeds_2_MACHAMP_False_False                                                       strategy/action-speeds         (none)        OK
action_speeds_2_MACHAMP_False_True                                                        strategy/action-speeds         (none)        OK
action_speeds_2_MACHAMP_True_False                                                        strategy/action-speeds         (none)        OK
action_speeds_2_MACHAMP_True_True                                                         strategy/action-speeds         (none)        OK
action_speed_stage_1_1_None                                                               strategy/action-speeds         (none)        OK
action_speed_stage_1_1_2                                                                  strategy/action-speeds         (none)        OK
action_speed_stage_1_7_None                                                               strategy/action-speeds         (none)        OK
action_speed_stage_1_7_2                                                                  strategy/action-speeds         (none)        OK
action_speed_stage_1_13_None                                                              strategy/action-speeds         (none)        OK
action_speed_stage_1_13_2                                                                 strategy/action-speeds         (none)        OK
action_speed_stage_100_1_None                                                             strategy/action-speeds         (none)        OK
action_speed_stage_100_1_2                                                                strategy/action-speeds         (none)        OK
